lat;lon;elemnt;id;official_name;ref:CIS_JR
49.3576199;14.6998084;node;3646789800;Planá n.Luž.,,U řadovek;
49.3589593;14.7002728;node;3646789801;Planá n.Luž.,,U řadovek;
49.3540250;14.6989806;node;3742898329;Planá n.Luž.,,Za mostem;
49.4535131;14.5915744;node;6980167648;Balkova Lhota,,Černý Les;63056
49.4533731;14.5916341;node;6980167647;Balkova Lhota,,Černý Les;63056
49.4545303;13.8893427;node;6666002881;Bezdědovice,Dobšice;
49.4546324;13.8894661;node;10736739688;Bezdědovice,Dobšice;
49.0197442;14.3293511;node;4703412021;Břehov,,obec;58346
48.9674950;14.4634704;node;3403650402;České Budějovice,,Autocamping;49754
48.9677356;14.4641068;node;3403650403;České Budějovice,,Autocamping;49754
48.9698694;14.5004947;node;2492993255;České Budějovice,,Edvarda Beneše;49713
48.9698272;14.5002104;node;2492993256;České Budějovice,,Edvarda Beneše;49713
48.9409816;14.4783535;node;664838591;České Budějovice,,Na Děkanských polích;64301
48.9412151;14.4782886;node;664837454;České Budějovice,,Na Děkanských polích;64301
48.9742044;14.4503699;node;3966076739;České Budějovice,,Na Sádkách;63030
49.0026868;14.4826778;node;3403781517;České Budějovice,,Nemanická;63512
48.9667806;14.5088070;node;3394060612;České Budějovice,,Pohůrecká U školy;56567
48.9668312;14.5083109;node;3394060611;České Budějovice,,Pohůrecká U školy;56567
48.9972483;14.5077229;node;3403023228;České Budějovice,,Slévárenská;54669
48.9970897;14.5076793;node;3403023227;České Budějovice,,Slévárenská;54669
48.9708077;14.5027779;node;7366841450;České Budějovice,,Suché Vrbné;4873
48.9707127;14.5031058;node;2489241475;České Budějovice,,Suché Vrbné;4873
48.9729472;14.4437728;node;7388329869;České Budějovice,,Švábův Hrádek;64936
48.9723175;14.4829917;node;3966152285;České Budějovice,,U Koníčka;64302
48.9556179;14.4982570;node;3402892053;České Budějovice,Nové Hodějovice,Za hřbitovem;63498
48.9553868;14.4974783;node;3402892052;České Budějovice,Nové Hodějovice,Za hřbitovem;63498
49.1533623;14.2220599;node;10692844337;Číčenice,,žel.st.;58543
49.2671557;13.8838200;node;8453998051;Strakonice,,Jezárky;51367
49.2670489;13.8836295;node;8453998050;Strakonice,,Jezárky;51367
49.2667729;13.9012491;node;9236070612;Strakonice,,Jiřího z Poděbrad;
49.2692607;13.8739615;node;7744288477;Strakonice,,K Dražejovu;62957
49.2687863;13.8773778;node;7744288465;Strakonice,,K Dražejovu;62957
49.2642812;13.9075660;node;9393616936;Strakonice,,Lidická;
49.2646454;13.9078702;node;9393616937;Strakonice,,Lidická;
49.2660437;13.8942515;node;4968234619;Strakonice,,Máchova ul.;
49.2660964;13.8935491;node;9393616931;Strakonice,,Máchova ul.;
49.2643746;13.8940812;node;6378817143;Strakonice,,Mírová ul.;
49.2641424;13.8942497;node;6378817144;Strakonice,,Mírová ul.;
49.2581364;13.9065812;node;9393616949;Strakonice,,Na Ohradě;
49.2578223;13.9067353;node;9393616948;Strakonice,,Na Ohradě;
49.2671356;13.9057750;node;6378817235;Strakonice,,Nemocnice;
49.2669264;13.9058662;node;6378817236;Strakonice,,Nemocnice;
49.2600737;13.9000332;node;8747142238;Strakonice,,Pivovar;
49.2518307;13.9217236;node;10719702392;Strakonice,,Podsrpenská - Na Hajskou;33262
49.2519105;13.9216692;node;10719702393;Strakonice,,Podsrpenská - Na Hajskou;33262
49.2495464;13.9169318;node;10719702404;Strakonice,,Povážská škola;59487
49.2496547;13.9172299;node;10719702403;Strakonice,,Povážská škola;59487
49.2699684;13.9088247;node;9393616920;Strakonice,,Raisova;
49.2699851;13.9091700;node;9393616921;Strakonice,,Raisova;
49.2687759;13.9139065;node;9393616918;Strakonice,,Raisova I;
49.2687092;13.9145582;node;9393616919;Strakonice,,Raisova I;
49.2689296;13.8937026;node;9236070609;Strakonice,,Sídliště;
49.2484117;13.9131692;node;10719752006;Strakonice,,Šumavská I;33272
49.2687671;13.8854683;node;9236070607;Strakonice,,Švandy dudáka;
49.2686968;13.8854374;node;9236070608;Strakonice,,Švandy dudáka;
49.2595188;13.9023225;node;8747142241;Strakonice,,Tržnice;
49.2556941;13.9120942;node;9393616930;Strakonice,,U Dudáka;
49.2557036;13.9122868;node;10726886483;Strakonice,,U Dudáka;
49.2759555;13.8886556;node;10726886475;Strakonice,,ul.Tisová;51161
49.2566766;13.9474204;node;10719702398;Strakonice,Hajská;33290
49.2728578;13.8675158;node;10726886476;Strakonice,Starý Dražejov;33294
49.4438028;14.6372408;node;3607940269;Svrabov,Hejlov,rozc.;58363
49.4097386;14.6768500;node;4476582195;Tábor,,Husova;
49.4085943;14.6800192;node;9406108831;Tábor,,Komenského;
49.4085084;14.6803239;node;4476582197;Tábor,,Komenského;
48.6506610;14.4526338;node;7377468655;Dolní Dvořiště,,st.hr.;6487
48.9856090;14.5552779;node;3406175669;Hlincová Hora,,Ke Hřišti;56569
48.9840238;14.5566059;node;3406175670;Hlincová Hora,,Ke Hřišti;56569
48.9853436;14.5539975;node;3406175671;Hlincová Hora,,Okružní;56568
49.4744606;14.2919769;node;10689846325;Hrejkovice,,ObÚ;53919
49.4630811;14.6851704;node;376970768;Chotoviny,Vrážná,Sever;62860
49.4631808;14.6852151;node;10690708084;Chotoviny,Vrážná,Sever;62860
49.1535767;15.0131779;node;9174048229;Jindřichův Hradec,,Jarošovská;
