lat;lon;ref;okres;name;stanoviste;typ
49.3133827702007;13.9326288606499;732529;ST;Radomy¹l zastávka;;vlak
49.3006443265006;13.9156375594645;732628;ST;Domanice;;vlak
49.2780903295159;13.9139988581603;732727;ST;Øepice;;vlak
49.5295921640418;14.0239144300079;730325;PI;Myslín;;vlak
49.5099077318904;14.0343619681607;730226;PI;Mirovice;;vlak
49.4979355767343;14.0565824649665;731026;PI;Horní Nerestce;;vlak
49.4701930257867;14.0766696435781;730424;PI;Èimelice;;vlak
49.4457827462624;14.0818262219539;730523;PI;Smetanova Lhota;;vlak
49.4139070981771;14.1130150552071;730622;PI;Dolní Ostrovec;;vlak
49.3918954512691;14.124630592887;730721;PI;Vrá¾ u Písku;;vlak
49.3535868619378;14.0978043372921;730820;PI;Èí¾ová;;vlak
49.3274803875144;14.1101326615156;756536;PI;Písek-Dobe¹ice;;vlak
49.2321699612142;13.9018411129055;750125;ST;Rado¹ovice;;vlak
49.2184118330645;13.8941332931215;750224;ST;Pøední Zborovice;;vlak
49.2121716815798;13.8897957359495;750331;ST;Strunkovice nad Volyòkou obec;;vlak
49.2035280364911;13.8858384036734;750323;ST;Strunkovice nad Volyòkou;;vlak
49.1873058742972;13.8931216469604;750422;ST;Ho¹tice u Volynì;;vlak
49.1701650936257;13.8929026121952;750521;ST;Volynì;;vlak
49.1501381291695;13.905954574743;750620;ST;Ni¹ovice;;vlak
49.1237786953446;13.8831537703782;750729;ST;Malenice nad Volyòkou;;vlak
49.1090272858708;13.8667276018281;750828;ST;Lèovice;;vlak
49.1111359100178;13.8291210232899;750927;PT;Èkynì;;vlak
49.0975891256827;13.8138992065837;751024;PT;Bohumilice v Èechách zastávka;;vlak
49.2991544099075;14.7350654771542;736769;TA;Myslkovice;;vlak
49.0928066707054;13.8009357858391;751123;PT;Bohumilice v Èechách;;vlak
49.0555257156974;13.790808206575;751222;PT;Vimperk;;vlak
49.0486890070252;13.7637669894739;751321;PT;Vimperk zastávka;;vlak
49.0201685371894;13.7354116632026;751420;PT;Lipka;;vlak
48.9829754598581;13.774733254291;751628;PT;Kubova Hu»;;vlak
48.9625024984762;13.7746369672067;751727;PT;Horní Vltavice;;vlak
48.9508747244025;13.8028708553814;751826;PT;Zátoò;;vlak
48.9516988184112;13.8226529678425;751925;PT;Zátoò-Boubín;;vlak
48.9284035593487;13.7969365142862;752022;PT;Lenora;;vlak
48.9233019143976;13.8028718332146;751529;PT;Lenora zastávka;;vlak
48.9079839401305;13.8290541851425;752121;PT;Soumarský Most;;vlak
48.6339255876885;14.2436593740684;748129;CK;Lipno nad Vltavou;;vlak
48.6244311590154;14.2453047752396;748020;CK;Louèovice zastávka;;vlak
48.6236131169334;14.3089951125225;747725;CK;Vy¹¹í Brod klá¹ter;;vlak
48.6195697041293;14.3216590221637;747626;CK;Tìchoraz;;vlak
48.6264138650337;14.363149141277;747428;CK;Ro¾mberk nad Vltavou;;vlak
48.6191880451934;14.349364952016;747527;CK;Herbertov;;vlak
48.6496179029568;14.4317118066479;752329;CK;Rybník;;vlak
48.681024934846;14.4442312696697;752428;CK;P¹enice;;vlak
48.7020745138578;14.4323043160791;752527;CK;Bujanov;;vlak
48.7251669809601;14.4475087636563;752626;CK;Omlenice;;vlak
48.7751333797957;14.4687155323628;752725;CK;Kaplice;;vlak
48.7886382214151;14.4728480216527;752824;CK;Výheò;;vlak
48.8199313889343;14.4364753559494;752923;CK;Vele¹ín;;vlak
48.8515617680605;14.4479924450748;753129;CK;Holkov;;vlak
48.8700987533519;14.4195685467651;753228;CB;Chlumec u Èeských Budìjovic;;vlak
48.8911514946722;14.4489247155974;753327;CB;Kamenný Újezd u Èeských Budìjovic;;vlak
48.924443446398;14.4495586546962;753525;CB;Vèelná;;vlak
48.9592384039094;14.4753967947775;753624;CB;Èeské Budìjovice ji¾ní zastávka;;vlak
48.9743879478896;14.4886461041465;732826;CB;Èeské Budìjovice;;vlak
48.9266519428932;14.4058319370571;760827;CB;Èerný Dub;;vlak
48.926586691843;14.3656227915341;760736;CB;Hradce;;vlak
48.9173223892474;14.3572797476556;760728;CB;Vrábèe;;vlak
48.9046163207094;14.3315456242163;760629;CK;Køem¾e;;vlak
48.8931737704505;14.3246579862096;760520;CK;Holubov;;vlak
48.8833357344954;14.3486307291336;760421;CK;Tøísov;;vlak
48.8505806797395;14.3516920678796;760223;CK;Zlatá Koruna;;vlak
48.8287185813642;14.3408570819183;760124;CK;Pøíseèná;;vlak
48.8279220310781;14.3349583380066;770123;CK;Domoradice;;vlak
48.822407474216;14.3170842247899;760025;CK;Èeský Krumlov;;vlak
48.813004698289;14.2651239350085;759928;CK;Kájov;;vlak
48.7715354911423;14.1828725343959;759720;CK;Hoøice na ©umavì;;vlak
48.798600476814;14.14789133728;759621;CK;Polná na ©umavì;;vlak
48.7994768778528;14.1204121293411;759522;CK;Poleènice;;vlak
48.7789099288083;14.1043323412658;759423;CK;Hodòov;;vlak
48.7428185007504;14.0867793693155;759225;CK;Èerná v Po¹umaví;;vlak
48.7521342692193;14.0442552197689;758623;CK;Horní Planá zastávka;;vlak
48.7649864040093;14.026335821057;759126;CK;Horní Planá;;vlak
48.7835355248409;13.986595519917;759027;CK;Pernek na ©umavì;;vlak
48.7898929372716;13.9532163114471;758920;PT;Nová Pec;;vlak
48.8064762297676;13.9389229897577;758821;PT;Ovesná;;vlak
48.8487685974516;13.9103249648281;758722;PT;Pìkná;;vlak
48.860682431515;13.8611671974774;739326;PT;Èerný Køí¾;;vlak
48.8588829807271;13.8207924494353;739425;PT;Sto¾ec;;vlak
48.8297639976103;13.794298089657;739524;PT;Nové Údolí;;vlak
48.8775433683772;13.8614545574799;739227;PT;Dobrá na ©umavì;;vlak
48.9070770338046;13.8834155064103;739128;PT;Volary;;vlak
48.6206082660338;14.256454090354;747923;CK;Louèovice;;vlak
48.7638741705186;14.1009285795971;759324;CK;®lábek;;vlak
48.7887844341766;14.2409265795344;759829;CK;Mezipotoèí;;vlak
48.8639880391807;14.3508925718956;760322;CK;Ple¹ovice;;vlak
48.909430301742;14.4510318448282;753426;CB;Kamenný Újezd u Èeských Budìjovic zastávka;;vlak
48.9269185285258;14.4437199329491;760926;CB;Bor¹ov nad Vltavou;;vlak
48.8364120097662;14.4531703612775;753020;CK;Vele¹ín mìsto;;vlak
48.6023041024152;14.4211749816729;752220;CK;Horní Dvoøi¹tì;;vlak
48.6442501391629;14.2862168210161;747824;CK;Èertova Stìna;;vlak
49.120403403351;15.4475079597978;749028;JH;Velký Pìèín;;vlak
49.1080255425495;15.4475809682805;748921;JH;Malý Pìèín;;vlak
49.0859869782005;15.4392070908885;748822;JH;Daèice;;vlak
49.0784287414562;15.4396719189217;748723;JH;Daèice mìsto;;vlak
49.0535529996924;15.4190095843208;748624;JH;Urbaneè;;vlak
49.0445829048768;15.3979793462361;748525;JH;Peè;;vlak
49.0343014980771;15.3748394528224;748426;JH;Dolní Bolíkov;;vlak
49.0155485888056;15.3781033200491;748327;JH;Muti¹ov;;vlak
48.9937966464712;15.3491449194657;748228;JH;Slavonice;;vlak
48.9517982195784;14.4988070878592;741926;CB;Nové Hodìjovice;;vlak
48.9211269787143;14.5291190279935;741827;CB;Nová Ves u Èeských Budìjovic;;vlak
48.9027636006265;14.5870723149698;741728;CB;Trocnov;;vlak
48.9009151571599;14.6117030967912;743526;CB;Radostice u Trocnova;;vlak
48.8913656797882;14.6424084868564;741629;CB;Borovany;;vlak
48.8959746313578;14.6754599513203;741520;CB;Hluboká u Borovan;;vlak
48.8772503109363;14.7048803853875;741421;CB;Jílovice;;vlak
48.8459183562518;14.755307323566;741322;CB;Petøíkov;;vlak
48.8229359615681;14.8092383721933;741223;CB;Nové Hrady;;vlak
48.7963410830084;14.8664738901701;741124;CB;Vy¹né;;vlak
48.7695086502772;14.9578548833848;736322;JH;Èeské Velenice;;vlak
48.8118924176639;14.9228082629827;736421;JH;Nová Ves nad Lu¾nicí;;vlak
48.8552118790979;14.8972459150572;736520;JH;Dvory nad Lu¾nicí;;vlak
48.8731275594001;14.8795913661683;736629;JH;Hrdloøezy;;vlak
48.8922287547952;14.8803545226343;736728;JH;Suchdol nad Lu¾nicí zastávka;;vlak
48.9022491008337;14.8828218340752;736827;JH;Suchdol nad Lu¾nicí;;vlak
48.9506455409417;14.8681667068842;736926;JH;Majdalena;;vlak
48.9650827147919;14.8574999365985;739623;JH;Majdalena zastávka;;vlak
49.0072932186787;14.7777462117546;737023;JH;Tøeboò láznì;;vlak
49.0153589509093;14.7607357997636;737122;JH;Tøeboò;;vlak
49.0536747011639;14.7500892829491;737221;JH;Lu¾nice;;vlak
49.0911651843982;14.7302439678102;737320;JH;Lomnice nad Lu¾nicí;;vlak
49.118544400475;14.7365458985627;737429;JH;Frahel¾;;vlak
49.1481157967029;14.7283826149913;737528;TA;Vlkov nad Lu¾nicí;;vlak
49.264030253243;15.0747330441547;745323;JH;®ïár u Kamenice nad Lipou;;vlak
49.2235154814209;15.0625776584119;745125;JH;Nekrasín;;vlak
49.2115743995306;15.0580885823873;745026;JH;Lovìtín obec;;vlak
