lat;lon;ref;okres;name;stanoviste;typ
49.3481148835253;14.7104981944691;55008;TA;Planá n.Lu¾.,,Strkovská;;bus
49.3478750816989;14.7107427127439;55008;TA;Planá n.Lu¾.,,Strkovská;;bus
49.3576174424716;14.6997813302325;55152;TA;Planá n.Lu¾.,,U øadovek;;bus
49.3589593683845;14.7002719501513;55152;TA;Planá n.Lu¾.,,U øadovek;;bus
49.3553327607522;14.7007685330427;64191;TA;Planá n.Lu¾.,,Za mostem;;bus
49.4535539697381;14.5915210925467;63056;TA;Balkova Lhota,,Èerný Les;;bus
49.4533812644158;14.5916453184804;63056;TA;Balkova Lhota,,Èerný Les;;bus
49.3610577600999;14.3587546765719;62400;PI;Bernartice,Bojenice;;bus
49.3610779380313;14.3585794053827;62400;PI;Bernartice,Bojenice;;bus
49.4438341379477;13.882165164072;60201;ST;Bezdìdovice;;bus
49.443747166168;13.8821911330003;60201;ST;Bezdìdovice;;bus
49.4546325363319;13.8894652278341;60202;ST;Bezdìdovice,Dob¹ice;;bus
49.4545305029771;13.8893418723598;60202;ST;Bezdìdovice,Dob¹ice;;bus
48.9196652413647;14.4007696345232;2210;CB;Bor¹ov n.Vlt.,Zahorèice,rozc.0.5;;bus
48.919615847165;14.4009966809784;2210;CB;Bor¹ov n.Vlt.,Zahorèice,rozc.0.5;;bus
49.0196813353024;14.3293930641336;58346;CB;Bøehov,,obec;;bus
49.0197502726478;14.3294897120305;58346;CB;Bøehov,,obec;;bus
48.9989156049746;14.3839748434604;4308;CB;Èejkovice,,rozc.1.0;;bus
48.9674641245131;14.4634356954004;49754;CB;Èeské Budìjovice,,Autocamping;;bus
48.9677437329038;14.4640996873259;49754;CB;Èeské Budìjovice,,Autocamping;;bus
48.9823880902893;14.4876413793199;58914;CB;Èeské Budìjovice,,Blahoslavova;;bus
48.9822734667384;14.4875630285196;58914;CB;Èeské Budìjovice,,Blahoslavova;;bus
48.9698875711873;14.5004901978151;49713;CB;Èeské Budìjovice,,Edvarda Bene¹e;;bus
48.9698273322586;14.5002473790938;49713;CB;Èeské Budìjovice,,Edvarda Bene¹e;;bus
48.9410008881627;14.4783536433781;64301;CB;Èeské Budìjovice,,Na Dìkanských polích;;bus
48.9742127563498;14.4502780097054;63030;CB;Èeské Budìjovice,,Na Sádkách;;bus
