lat;lon;ref:CIS_JR;official_name;local_ref
49.1659879310708;14.9886682735872;13452;Jindřichův Hradec,Obora,háj.;
49.1661123973983;14.9886930104266;13452;Jindřichův Hradec,Obora,háj.;
49.1361193593144;15.0443071713494;64326;Jindřichův Hradec,Otín,točna;
49.1579035546273;15.0002885719969;13415;Jindřichův Hradec,Radouňka,Kopeček;
49.1587617831816;15.001005576236;13415;Jindřichův Hradec,Radouňka,Kopeček;
49.3229124309652;14.7174386404533;63411;Košice,Doubí,I/3;
49.3242990198007;14.7160524297123;63411;Košice,Doubí,I/3;
49.0971152924503;14.2310103615665;57683;Malovice,Malovičky;
49.0964113547503;14.2322433533026;57683;Malovice,Malovičky;
49.5120578227234;14.7087324858326;59541;Nemyšl,Dědičky;
49.5115215305232;14.7088760500744;59541;Nemyšl,Dědičky;
49.4123031719913;14.7611160035315;56466;Nová Ves u Chýnova,,Stříbrné Hutě;
49.4122960752841;14.7612140117345;56466;Nová Ves u Chýnova,,Stříbrné Hutě;
49.056818970111;15.4144602063391;59468;Peč,Urbaneč;
49.3162475108023;14.167299178913;26643;Písek,,lesní hřbitov;
49.2904014854425;14.122478199534;26655;Písek,,rozc.Zátaví;
49.313237690793;14.1597601548253;50601;Písek,,Sedláčkova;
49.3157797608778;14.1608983706684;26662;Písek,,U pekárny;
49.3162638744194;14.1566022979235;55549;Písek,,Za Pazdernou;
49.3158970954098;14.1589023034267;55549;Písek,,Za Pazdernou;
49.3036470695757;14.1509298198577;47551;Písek,,Zeyerova;
49.3610577600999;14.3587546765719;62400;Bernartice,Bojenice;
49.3610779380313;14.3585794053827;62400;Bernartice,Bojenice;
49.4438341379477;13.882165164072;60201;Bezdědovice;
49.443747166168;13.8821911330003;60201;Bezdědovice;
48.9196652413647;14.4007696345232;2210;Boršov n.Vlt.,Zahorčice,rozc.0.5;
48.919615847165;14.4009966809784;2210;Boršov n.Vlt.,Zahorčice,rozc.0.5;
48.9823880902893;14.4876413793199;58914;České Budějovice,,Blahoslavova;
48.9822734667384;14.4875630285196;58914;České Budějovice,,Blahoslavova;
48.9718243204714;14.4833668107966;64302;České Budějovice,,U Koníčka;
48.9723153425745;14.4832356580483;64302;České Budějovice,,U Koníčka;
49.4695470676801;14.0694364926673;58569;Čimelice,,za Pramenem;
49.2594039383519;14.5220082275841;59521;Březnice,Jamník,rozc.;
49.2920811328669;14.8431650201985;54604;Budislav,,rozc.Záluží.1.5;
49.2920816514681;14.843015221504;54604;Budislav,,rozc.Záluží.1.5;
49.2792057997674;14.9537845571799;30039;Rosička;
49.279401263551;14.953831422122;30039;Rosička;
49.2485886597647;13.9444532060229;33260;Strakonice,,Podsrp - hájenka;
49.2486607995007;13.9444153003269;33260;Strakonice,,Podsrp - hájenka;
49.2693926165138;13.8867265908797;55477;Strakonice,,Profesora Skupy;
49.3320799768537;14.0649669846205;62680;Drhovle,Mlaka,rozc.;
49.3320966494056;14.064774349383;62680;Drhovle,Mlaka,rozc.;
49.0955509923322;15.0097243509003;64073;Horní Pěna,Malíkov nad Nežárkou;
49.401689189833;14.8052219876284;55730;Chýnov,,Turovecká;
49.4025520657859;14.8062149928316;55730;Chýnov,,Turovecká;
49.3989089610683;14.8133980922468;63812;Chýnov,Záhostice,Okružní;
49.3991730867279;14.8135744532935;63812;Chýnov,Záhostice,Okružní;
49.0287215667335;15.3512326801363;32051;Slavonice,Rubášov;
49.0287063310423;15.351152708115;32051;Slavonice,Rubášov;
49.0720037275145;15.3231881783815;4993;Český Rudolec,,škola;
49.0719699312913;15.3233048742315;4993;Český Rudolec,,škola;
49.0757367504824;15.2874864319584;4994;Český Rudolec,Dolní Radíkov;
49.0851599099008;15.3049234531513;4995;Český Rudolec,Horní Radíkov,rozc.1.0;
49.0851662786383;15.3048355795065;4995;Český Rudolec,Horní Radíkov,rozc.1.0;
49.1065323475345;15.3104133699723;4996;Český Rudolec,Lipnice;
49.1065349423725;15.3103009545119;4996;Český Rudolec,Lipnice;
49.0973423432877;15.2649733260226;17129;Kunžak,Valtínov;
49.0972179758123;15.2649547127238;17129;Kunžak,Valtínov;
49.1096696776972;15.2340882930363;17128;Kunžak,Mosty;
49.1096205056668;15.2342806356046;17128;Kunžak,Mosty;
49.1138027669075;15.2159144286615;17127;Kunžak,Lána;
49.1137319189179;15.2158497458113;17127;Kunžak,Lána;
49.3022180590804;13.8734087464896;37711;Únice,Hubenov;
49.3030256690382;13.8731089137109;37711;Únice,Hubenov;
49.309834182079;13.8705525140362;37710;Únice;
49.3099835209136;13.870657821127;37710;Únice;
49.3315724670709;13.860292554351;36726;Třebohostice;
49.3318532535294;13.8604829643331;36726;Třebohostice;
49.3310538831245;13.8452900818758;36729;Třebohostice,Zadní Zborovice;
49.3309592860968;13.8453518271194;36729;Třebohostice,Zadní Zborovice;
49.3477440527506;13.8111917107209;20589;Mečichov;
49.3476439862399;13.8111924011422;20589;Mečichov;
49.3440242037232;13.8480256645272;36728;Třebohostice,Třebohost.Chalupy,rozc.1;
49.3440337352958;13.848112111801;36728;Třebohostice,Třebohost.Chalupy,rozc.1;
49.3530661209082;13.8421129820812;55066;Doubravice,Nahošín,II;
49.3531443427311;13.8421765539634;55066;Doubravice,Nahošín,II;
49.3521236701013;13.8611010527601;6987;Doubravice;
49.3521284001179;13.8608235854378;6987;Doubravice;
49.3665203882468;13.841614523894;2545;Bratronice;
49.4105014962648;13.8842583170345;1502;Mačkov,,jízdárna;
49.4106076117281;13.8842450020631;1502;Mačkov,,jízdárna;
