lat;lon;official_name;name;ref:CIS_JR;ref;bus;public_transport;count;id;local_ref
49.4858360;14.7549920;"""Hlasivo, Hlasivko, rozc. 1.0""";"""Hlasivo, Hlasivko, rozcestí 1.0""";;;yes;platform;;10690713543;1;10;10;10;10
49.4858700;14.7550850;"""Hlasivo, Hlasivko, rozc. 1.0""";"""Hlasivo, Hlasivko, rozcestí 1.0""";;;yes;platform;;10690713552;2;10;10;10;10
49.4956780;14.7545270;;Hlasivo;;;yes;platform;;10690713545;1;10;10;10;10
49.4956970;14.7546540;;Hlasivo;;;yes;platform;;10690713550;2;10;10;10;10
49.5015070;14.7720070;;"""Mladá Vožice, Stará Vožice""";;;yes;platform;;10690713535;B;10;10;10;10
49.5015560;14.7719160;;"""Mladá Vožice, Stará Vožice""";;;yes;platform;;10690713541;A;10;10;10;10
49.5091320;14.7847730;"""Mladá Vožice, Blanice, rozc. 1.0""";"""Mladá Vožice, Blanice, rozcestí 1.0""";;;yes;platform;;10690713542;B;10;10;10;10
49.5091740;14.7846930;"""Mladá Vožice, Blanice, rozc. 1.0""";"""Mladá Vožice, Blanice, rozcestí 1.0""";;;yes;platform;;10690713544;A;10;10;10;10
49.5173910;14.7935750;"""Mladá Vožice, rozc. Řemíčov 1.0""";"""Mladá Vožice, rozcestí Řemíčov 1.0""";;;yes;platform;;10690713539;1;10;10;10;10
49.5173530;14.7933920;"""Mladá Vožice, rozc. Řemíčov 1.0""";"""Mladá Vožice, rozcestí Řemíčov 1.0""";;;yes;platform;;10690713548;2;10;10;10;10
49.5151790;14.7749760;;Řemíčov;;;yes;platform;;10690713549;2;10
49.5281577;14.8058456;;"""Mladá Vožice, Táborská""";;;yes;platform;;937215185;1;10;10
49.5278023;14.8057039;;"""Mladá Vožice, Táborská""";;;yes;platform;;8725372186;2;10;10
49.5350600;14.8069600;;"""Mladá Vožice, Voračického""";;;yes;platform;;7990799080;2;10;10
49.5352400;14.8064800;;"""Mladá Vožice, Voračického""";;;yes;platform;;7990799078;1;10;10
49.5101780;14.6578840;;Sudoměřice u Tábora;;;yes;platform;;10690713517;1;10;10;10;10
49.5102420;14.6580250;;Sudoměřice u Tábora;;;yes;platform;;10690713518;2;10;10;10;10
49.5369199;14.8005387;;"""Mladá Vožice, u hřbitova""";;;yes;platform;;10690713563;1;10;10;10;10
49.5369720;14.8005920;;"""Mladá Vožice, u hřbitova""";;;yes;platform;;10690713564;2;10;10;10;10
49.5437770;14.7635470;Zhoř u Ml. Vožice;Zhoř u Mladé Vožice;;;yes;platform;;10690713519;2;10;10;10;10
49.5436780;14.7635690;Zhoř u Ml. Vožice;Zhoř u Mladé Vožice;;;yes;platform;;10690713520;1;10;10;10;10
49.5473370;14.7515690;"""Oldřichov, Těmice rozc. 1.0""";"""Oldřichov, Těmice rozcestí 1.0""";;;yes;platform;;10690713522;1;10;10;10;10;10;10;10;10
49.5576935;14.7546139;;Oldřichov;;;yes;platform;;10251459425;1;10
49.5475900;14.7964600;;"""Mladá Vožice, Noskov, rybník""";;;yes;platform;;7990799082;1;10;10;10;10
49.5500400;14.7974300;;"""Mladá Vožice, Noskov""";;;yes;platform;;6969751535;1;10;10;10;10
49.5501000;14.7975800;;"""Mladá Vožice, Noskov""";;;yes;platform;;7990812386;2;10;10;10;10
49.5529900;14.7959700;;"""Mladá Vožice, Chocov, rozc. 1.0""";;;yes;platform;;7990799079;1;10;10;10;10
49.5530500;14.7958800;;"""Mladá Vožice, Chocov, rozc. 1.0""";;;yes;platform;;7990799084;2;10;10;10;10
49.5654100;14.7767200;;"""Šebířov, Bouřilka""";;;yes;platform;;495647352;1;10;10;10;10
49.5653300;14.7769100;;"""Šebířov, Bouřilka""";;;yes;platform;;7990799081;2;10;10;10;10
49.5721400;14.7710200;;"""Slapsko, Moraveč""";;;yes;platform;;7990812385;1;10;10;10;10
49.5721800;14.7710900;;"""Slapsko, Moraveč""";;;yes;platform;;7990812387;2;10;10;10;10
49.4590260;14.5480870;;"""Jistebnice, Makov""";;;yes;platform;;4453492439;B;10;10;10;10
49.4747390;14.5597310;;"""Jistebnice, Makov, Pazderna""";;;yes;platform;;251689460;B;10;10;10;10
49.4747350;14.5595550;;"""Jistebnice, Makov, Pazderna""";;;yes;platform;;10690713507;A;10;10;10;10
49.4385380;14.7381900;;"""Tábor, Hlinice, V chalupách""";;;yes;platform;;4445533041;1;10;10;10;10
49.4385490;14.7383480;;"""Tábor, Hlinice, V chalupách""";;;yes;platform;;10690713531;2;10;10;10;10
49.4344059;14.7287833;;"""Tábor, Hlinice, myslivna""";;;yes;platform;;4445533035;1;10;10;10;10
49.4343686;14.7288622;;"""Tábor, Hlinice, myslivna""";;;yes;platform;;10690713529;2;10;10;10;10
49.4292648;14.7184403;"""Tábor, Hlinice""";Hlinice;;;yes;platform;;3634343707;1;10;10
49.4293820;14.7190320;"""Tábor, Hlinice""";Hlinice;;;yes;platform;;824091955;2;10;10
49.4232600;14.7035260;"""Tábor, Záluží""";Záluží;;;yes;platform;;3634343703;1;10;10;10;10
49.4231530;14.7036910;"""Tábor, Záluží""";Záluží;;;yes;platform;;3634343704;2;10;10;10;10
49.5652050;14.8242590;;Šebířov;;;yes;platform;;60283916;1;10;10;10;10
49.5650412;14.8241608;;Šebířov;;;yes;platform;;10690713567;2;10;10;10;10
49.5772780;14.8302140;;"""Šebířov, Skrýšov""";;;yes;platform;;281562908;1;10;10;10;10
49.5772400;14.8303120;;"""Šebířov, Skrýšov""";;;yes;platform;;10690713577;2;10;10;10;10
49.5510980;14.8156810;;"""Mladá Vožice, Noskov, Bor""";;;yes;platform;;10690713555;2;10;10;10;10
49.5511250;14.8155980;;"""Mladá Vožice, Noskov, Bor""";;;yes;platform;;10690713557;1;10;10;10;10
49.5420230;14.8135410;;"""Mladá Vožice, KOH-I-NOOR""";;;yes;platform;;10690713558;1;10;10;10;10
49.5434063;14.8361932;;Běleč;;;yes;platform;;277461327;B;10;10;10;10
49.5433270;14.8362720;;Běleč;;;yes;platform;;10690713572;A;10;10;10;10
49.5453220;14.8433080;"""Běleč, Elbančice, rozc. 1.0""";"""Běleč, Elbančice, rozcestí 1.0""";;;yes;platform;;60283151;B;10;10;10;10
49.5452420;14.8433430;"""Běleč, Elbančice, rozc. 1.0""";"""Běleč, Elbančice, rozcestí 1.0""";;;yes;platform;;10690713574;A;10;10;10;10
49.5555990;14.8459470;"""Běleč, Bzová, rozc.""";"""Běleč, Bzová, rozcestí""";;;yes;platform;;277461326;B;10;10;10;10
49.5555610;14.8463830;"""Běleč, Bzová, rozc.""";"""Běleč, Bzová, rozcestí""";;;yes;platform;;10690713573;A;10;10
49.5755351;14.8634598;;"""Vilice, Zátiší""";;;yes;platform;;10690713559;B;10;10;10;10
49.5755390;14.8636030;;"""Vilice, Zátiší""";;;yes;platform;;10690713560;A;10;10;10;10
49.5825000;14.8574990;;"""Vilice, Hrnčíře""";;;yes;platform;;60284463;A;10
49.5369760;14.8121190;;"""Mladá Vožice, Vanišova""";;;yes;platform;;10690713565;1;10;10;10;10
49.5369110;14.8121650;;"""Mladá Vožice, Vanišova""";;;yes;platform;;10690713566;2;10;10;10;10
49.4803086;14.5472044;"""Jistebnice, Tisová rozc. 1.0""";"""Jistebnice, Tisová rozcestí 1.0""";;;yes;platform;;4445533020;A;10;10
