"(Velemín) (NAD)"
"(Velemín, Dobkovičky) (NAD)"
"Adamov"
"Adamov zastávka"
"Adršpach"
"Albeř"
"Albrechtice u Českého Těšína"
"Amalín"
"Amtshainersdorf"
"Anenská Studánka"
"Antonínov"
"Aš"
"Aš město"
"Aš předměstí"
"Babice nad Svitavou"
"Babice u Šternberka"
"Babylon"
"Bad Brambach"
"Bad Schandau"
"Bahno"
"Bakov nad Jizerou"
"Bakov nad Jizerou město"
"Balkova Lhota"
"Bartoňov"
"Bartoušov zastávka"
"Baška"
"Batelov"
"Bavorov"
"Bečov nad Teplou"
"Bečov u Mostu"
"Bečváry"
"Bedihošť"
"Bechov"
"Bechyně"
"Bechyně zastávka"
"Bechyňská Smoleč"
"Bělá nad Radbuzou"
"Bělá nad Radbuzou zastávka"
"Bělá pod Bezdězem"
"Bělá pod Bezdězem město"
"Bělá pod Bezdězem zastávka"
"Bělá u Staré Paky"
"Bělá u Staré Paky zastávka"
"Bělčice"
"Běleč"
"Bělotín"
"Bělušice"
"Benešov nad Lipou"
"Benešov nad Ploučnicí"
"Benešov u Prahy"
"Berlin Hbf"
"Berlin-Charlottenburg"
"Bernartice u Javorníka"
"Bernartice u Trutnova"
"Beroun"
"Beroun-Závodí"
"Běrunice"
"Běšiny"
"Bezdědovice"
"Bezděkov u Klatov"
"Bezděkov u Radnic"
"Bezděz"
"Bezdružice"
"Bezměrov"
"Bežerovice"
"Bílá Třemešná"
"Bílá Voda"
"Bílek"
"Bílina"
"Bílina kyselka"
"Bílina-Chudeřice"
"Bílovec"
"Bílovice nad Svitavou"
"Bílý Kostel nad Nisou"
"Bílý Potok pod Smrkem"
"Biskupice u Luhačovic"
"Bítovčice"
"Blahousty"
"Blanice"
"Blansko"
"Blansko město"
"Blatec"
"Blatná"
"Blatnice pod Svatým Antonínkem"
"Blatnice u Nýřan"
"Blatno u Jesenice"
"Blažejov"
"Blažovice"
"Blešno"
"Blížejov"
"Blíževedly"
"Blížkovice"
"Blovice"
"Bludov"
"Bludov lázně"
"Bocanovice (Boconowice)"
"Boč"
"Bohdašín"
"Bohdíkov"
"Bohosudov zastávka"
"Bohousová"
"Bohumilice v Čechách"
"Bohumilice v Čechách zastávka"
"Bohumín"
"Bohunice"
"Bohuňovice"
"Bohuslavice nad Metují"
"Bohuslavice nad Metují zastávka"
"Bohuslavice nad Vláří"
"Bohuslavice u Kyjova"
"Bohušice"
"Bohušov"
"Bohušovice nad Ohří"
"Bohutice"
"Bohutín"
"Bojanovice"
"Bojkovice"
"Bojkovice město"
"Bojov"
"Bolatice"
"Bolehošť"
"Boletice nad Labem"
"Bolina"
"Bor"
"Bor zastávka"
"Borač"
"Borek pod Troskami"
"Borek u Tachova"
"Borek u Žlutic"
"Borohrádek"
"Borová u Poličky"
"Borová u Poličky zastávka"
"Borovany"
"Borovnice"
"Borovnička"
"Borovy"
"Boršov nad Vltavou"
"Bořetice"
"Boří les"
"Bořice"
"Bořislav"
"Boskovice"
"Bošice"
"Bošice zastávka"
"Božejovice"
"Božice u Znojma"
"Božičany"
"Brandýs nad Labem"
"Brandýs nad Labem zastávka"
"Brandýs nad Labem-Zápská"
"Brandýs nad Orlicí"
"Brandýsek"
"Branice"
"Branka u Opavy"
"Brankovice"
"Branky na Moravě"
"Branná"
"Bransouze"
"Brantice"
"Bratkovice"
"Brest Centralnyj"
"Brniště"
"Brno dolní n."
"Brno hl. n."
"Brno-Černovice"
"Brno-Horní Heršpice"
"Brno-Chrlice"
"Brno-Královo Pole"
"Brno-Lesná"
"Brno-Řečkovice"
"Brno-Slatina"
"Brno-Starý Lískovec"
"Brňov"
"Brno-Židenice"
"Brod nad Tichou"
"Brodek u Přerova"
"Brodské"
"Broumov"
"Broumov-Olivětín"
"Brozánky"
"Brtníky"
"Brumov"
"Brumov střed"
"Brumovice"
"Bruntál"
"Břasy"
"Břeclav"
"Břest"
"Břetislav"
"Břevnice"
"Březí"
"Březina nad Jizerou"
"Březiny u Děčína"
"Březnice"
"Březno u Chomutova"
"Březno u Mladé Boleslavi"
"Březno u Postoloprt"
"Březová nad Svitavou"
"Březová nad Svitavou-Dlouhá"
"Březová u Broumova"
"Břežany"
"Břežany nad Ohří"
"Břidličná"
"Břidličná lesy"
"Břidličná zastávka"
"Bříza obec"
"Břvany"
"Bučovice"
"Buda"
"Budčice"
"Budišov nad Budišovkou"
"Budišov u Třebíče"
"Budyně nad Ohří"
"Bujanov"
"Bukovno"
"Butoves"
"Bykáň"
"Bylnice"
"Bystrovany"
"Bystřany v Čechách"
"Bystřice (Bystrzyca)"
"Bystřice nad Pernštejnem"
"Bystřice pod Hostýnem"
"Bystřice u Benešova"
"Bystřička"
"Byšice"
"Bzenec"
"Bzenec přívoz"
"Bzenec-Olšovec"
"Cebiv"
"Cerekvice nad Bystřicí"
"Cerekvice nad Loučnou"
"Cerekvice nad Loučnou zastávka"
"Cerhenice"
"Cerhovice"
"Cetkovice"
"Cidlina"
"Cieszyn"
"Cihelny"
"Církvice"
"Citice"
"Citonice"
"Cítov"
"Ctiněves"
"Čadca"
"Čachnov"
"Čachovice"
"Čáslav"
"Častolovice"
"Častolovice zastávka"
"Čebín"
"Čejč"
"Čejetice"
"Čeladná"
"Čelákovice"
"Čelákovice zastávka"
"Čelákovice-Jiřina"
"Čelčice"
"Čelechovice na Hané"
"Čenkov u Malšic"
"Čeperka"
"Čerčany"
"Čermná nad Orlicí"
"Čermná ve Slezsku"
"Černá v Pošumaví"
"Černčice"
"Černíny"
"Černošice"
"Černošice-Mokropsy"
"Černotín"
"Černousy"
"Černovice u Chomutova"
"Černovice u Tábora"
"Černovír"
"Černožice"
"Černuc"
"Černý Dub"
"Černý Kříž"
"Čertova Stěna"
"Červená nad Vltavou"
"Červená Voda"
"Červená Voda-Pod rozhlednou"
"Červené Pečky"
"Červené Poříčí"
"Červenka"
"Červenka zastávka"
"Červený Kostelec"
"Červený Potok"
"Červený Újezd u Votic zastávka"
"Česká"
"Česká Kamenice"
"Česká Kubice"
"Česká Lípa hl. n."
"Česká Lípa střelnice"
"Česká Lípa-Holý vrch"
"Česká Metuje"
"Česká Skalice"
"Česká Třebová"
"Česká Ves"
"Česká Ves bazén"
"České Budějovice"
"České Budějovice jižní zastávka"
"České Budějovice severní zastávka"
"České Hamry"
"České Velenice"
"Český Brod"
"Český Krumlov"
"Český Šternberk"
"Český Šternberk zastávka"
"Český Těšín (Czeski Cieszyn)"
"Čestice"
"Číčenice"
"Číchov"
"Čimelice"
"Činěves"
"Čisovice"
"Čistá"
"Čížkovice"
"Čížov"
"Čížová"
"Čkyně"
"Čtyřkoly"
"Čunín"
"Dačice"
"Dačice město"
"Dalovice"
"Dasnice"
"Davle"
"Děbolín"
"Děčín hl. n."
"Děčín východ"
"Děčín zastávka"
"Děčín-Bynov"
"Děčín-Čertova Voda"
"Děčín-Oldřichov"
"Děčín-Prostřední Žleb"
"Děčín-Přípeř"
"Děčín-Staré Město"
"Dědice"
"Dědov"
"Dehtín"
"Děhylov"
"Desná"
"Desná-Pustinská"
"Desná-Riedlova vila"
"Dešenice"
"Deštnice"
"Dětmarovice"
"Dětřichov nad Bystřicí"
"Dívčí Hrad"
"Dívčice"
"Divnice"
"Dlažkovice"
"Dlouhá Lhota"
"Dlouhá Třebová"
"Dlouhé Dvory"
"Dobešov"
"Dobkovice"
"Dobkovičky"
"Dobrá na Šumavě"
"Dobrá u Frýdku-Místku"
"Dobrá Voda u Březnice"
"Dobrá Voda u Hořic"
"Dobrá Voda u Pelhřimova"
"Dobratice pod Prašivou"
"Dobré Pole"
"Dobroměřice"
"Dobronice u Chýnova"
"Dobronín"
"Dobrotice"
"Dobrovice"
"Dobrovíz"
"Dobrovíz-Amazon"
"Dobruška"
"Dobřany"
"Dobřany zastávka"
"Dobřenice"
"Dobříčkov"
"Dobřichovice"
"Dobříkov na Šumavě"
"Dobříkov u Chocně"
"Dobříň"
"Dobříš"
"Dobšice nad Cidlinou"
"Dohalice"
"Doksy"
"Dolánky"
"Dolany nad Vltavou"
"Dolejší Hůrky"
"Dolenice"
"Dolík"
"Dolní Benešov"
"Dolní Benešov-Zábřeh"
"Dolní Beřkovice"
"Dolní Bolíkov"
"Dolní Bousov"
"Dolní Březinka"
"Dolní Břežany-Jarov"
"Dolní Cerekev"
"Dolní Dobrouč"
"Dolní Habartice"
"Dolní Kamenice"
"Dolní Křečany"
"Dolní Lhota"
"Dolní Libchavy"
"Dolní Lipka"
"Dolní Loučky"
"Dolní Luby"
"Dolní Lutyně"
"Dolní Orlice"
"Dolní Ostrovec"
"Dolní Podluží"
"Dolní Polubný"
"Dolní Poříčí"
"Dolní Poustevna"
"Dolní Radouň"
"Dolní Smrčné"
"Dolní Stupno"
"Dolní Zálezly"
"Dolní Žandov"
"Dolní Životice"
"Dolní Žleb"
"Dolní Žleb zastávka"
"Doloplazy"
"Doly"
"Domanice"
"Domašín"
"Domašov nad Bystřicí"
"Domažlice"
"Domažlice město"
"Domina"
"Domoradice"
"Domoušice"
"Doňov"
"Doubí u Karlových Varů"
"Doubí u Tábora"
"Doubí u Turnova"
"Doubravice nad Svitavou"
"Doubravník"
"Doudleby nad Orlicí"
"Drahanovice"
"Drahobudice"
"Drahotuše"
"Dřetovice"
"Dřísy"
"Dubany"
"Dubec"
"Dubí"
"Dubičná"
"Dubová Lhota"
"Duchcov"
"Dvorce"
"Dvory nad Lužnicí"
"Dvořisko"
"Dvůr Králové nad Labem"
"Dyje"
"Dymokury"
"Dynín zastávka"
"Dýšina ?"
"Dýšina-Horomyslice"
"Dzbel"
"Džbánov"
"Ejpovice"
"Filipovka"
"Frahelž"
"Frankfurt(Oder)"
"Františkov nad Ploučnicí"
"Františkovy Lázně"
"Františkovy Lázně-Aquaforum"
"Frenštát pod Radhoštěm"
"Frenštát pod Radhoštěm město"
"Frýdek-Místek"
"Frýdlant nad Ostravicí"
"Frýdlant nad Ostravicí zastávka"
"Frýdlant nad Ostravicí-Nová Dědina"
"Frýdlant v Čechách"
"Frýdlant v Čechách předměstí"
"Fulnek"
"Furth im Wald"
"Gdańsk Główny"
"Gdynia Główna"
"Głuchołazy"
"Gmünd NÖ"
"Golčův Jeníkov"
"Golčův Jeníkov město"
"Goßdorf-Kohlmühle"
"Grešlové Mýto"
"Großschönau/S."
"Grygov"
"Háj u Duchcova"
"Háj ve Slezsku"
"Hájek"
"Hajniště"
"Halenkov"
"Halenkov zastávka"
"Hamry nad Sázavou"
"Hamry-Hojsova Stráž"
"Hanušovice"
"Hanušovice Holba"
"Hanušovice zastávka"
"Harrachov"
"Hatě"
"Havířov"
"Havířov střed"
"Havířov-Suchá"
"Havlíčkův Brod"
"Havlíčkův Brod-Perknov"
"Havlovice"
"Havřice"
"Hazlov"
"Heinewalde"
"Hejnice"
"Hel"
"Herálec"
"Herbertov"
"Heřmaň"
"Heřmaň obec"
"Heřmaničky"
"Heřmánky"
"Heřmanova Huť"
"Heřmanův Městec"
"Hladké Životice"
"Hladké Životice místní nádraží"
"Hlavno"
"Hleďsebe"
"Hlinsko pod Hostýnem"
"Hlinsko v Čechách"
"Hlízov"
"Hlubočky"
"Hlubočky zastávka"
"Hlubočky-Mariánské Údolí"
"Hluboká nad Vltavou"
"Hluboká nad Vltavou- Zámostí"
"Hluboká u Borovan"
"Hluboký Důl"
"Hlučín"
"Hlušovice"
"Hnátnice"
"Hněvčeves"
"Hněvice"
"Hnojník"
"Hodice"
"Hodkov"
"Hodkov zastávka"
"Hodkovice nad Mohelkou"
"Hodkovice u Trutnova"
"Hodňov"
"Hodonice"
"Hodonín"
"Hof Hbf"
"Hojsova Stráž-Brčálník"
"Holasovice"
"Holečkov"
"Holedeček"
"Holešov"
"Holetín"
"Holice"
"Holkov"
"Hollabrunn"
"Holostřevy"
"Holoubkov"
"Holubov"
"Holýšov"
"Horažďovice"
"Horažďovice předměstí"
"Horka nad Moravou"
"Horka nad Sázavou"
"Horka u Chrudimi"
"Horka u Staré Paky"
"Horky u Čáslavi"
"Horky u Tábora"
"Horní Adršpach"
"Horní Beřkovice"
"Horní Blatná"
"Horní Branná"
"Horní Bříza"
"Horní Bříza zastávka"
"Horní Cerekev"
"Horní Dvořiště"
"Horní Háj"
"Horní Heřmanice"
"Horní Hradiště"
"Horní Kamenice"
"Horní Ledeč"
"Horní Lideč"
"Horní Lipová"
"Horní Moštěnice"
"Horní Nerestce"
"Horní Nová Ves"
"Horní Planá"
"Horní Planá zastávka"
"Horní Počaply"
"Horní Podluží"
"Horní Police"
"Horní Poustevna"
"Horní Povelice"
"Horní Řasnice"
"Horní Řepčice"
"Horní Skrýchov"
"Horní Slavkov-Kounice"
"Horní Suchá"
"Horní Sytová"
"Horní Tošanovice"
"Horní Vltavice"
"Horšovský Týn"
"Horusice"
"Hořátev"
"Hořesedly"
"Hořetice"
"Hořice na Šumavě"
"Hořice v Podkrkonoší"
"Hořovice"
"Hosín"
"Hostašovice"
"Hostěrádky-Rešov"
"Hostětín"
"Hostinné"
"Hostinné město"
"Hostivice"
"Hostivice-Litovice"
"Hostivice-Sadová"
"Hostivice-U hřbitova"
"Hostomice nad Bílinou"
"Hostomice pod Brdy"
"Hostouň"
"Hostouň u Prahy"
"Hoštěc"
"Hoštejn"
"Hoštice u Volyně"
"Hoštice-Heroltice"
"Hoštka"
"Hovězí"
"Hovorčovice"
"Hrabačov"
"Hrabišín"
"Hradce"
"Hradčany"
"Hradčovice"
"Hradec Králové hl. n."
"Hradec Králové zastávka"
"Hradec Králové-Kukleny"
"Hradec Králové-Slezské Předměstí"
"Hradec nad Moravicí"
"Hradec nad Svitavou"
"Hradec u Kadaně"
"Hradec u Stoda"
"Hradec-Nová Ves"
"Hrádek (Gródek)"
"Hrádek nad Nisou"
"Hrádek u Rokycan"
"Hrádek u Sušice"
"Hradiště u Blatné"
"Hradiště v Čechách"
"Hrachovec"
"Hranice na Moravě"
"Hranice na Moravě město"
"Hranice v Čechách"
"Hrdějovice"
"Hrdlořezy"
"Hrdly"
"Hrdoňovice"
"Hrob"
"Hrobce"
"Hrochův Týnec"
"Hronov"
"Hronov zastávka"
"Hroznětín"
"Hroznětín zastávka"
"Hrubá Skála"
"Hrubá Voda"
"Hrubá Voda zastávka"
"Hrubá Voda-Smilov"
"Hrušky zastávka"
"Hrušová"
"Hrušovany nad Jevišovkou-Šanov"
"Hrušovany u Brna"
"Hřebeny"
"Hříběcí"
"Hřivice"
"Hudčice"
"Hulín"
"Humpolec"
"Hůrky"
"Husinec"
"Huslenky"
"Huslenky zastávka"
"Hustopeče nad Bečvou"
"Huštěnovice"
"Hvězdonice"
"Hvězdoňovice"
"Hynčice"
"Hýskov"
"Chabeřice"
"Chałupki"
"Charvatce"
"Charvátská Nová Ves"
"Cheb"
"Cheb-Skalka"
"Cheb-Všeboř"
"Chlum u Rakovníka"
"Chlumčany u Dobřan"
"Chlumčany u Loun"
"Chlumec nad Cidlinou"
"Chlumec u Českých Budějovic"
"Chlumec u Chabařovic"
"Chlumín"
"Chmeliště"
"Choceň"
"Chocerady"
"Chodov"
"Chodová Planá"
"Chodská Lhota"
"Cholina"
"Choltice"
"Chomutov"
"Chomutov město"
"Choratice"
"Chornice"
"Chotěboř"
"Chotěbudice"
"Chotěbuz (Kocobędz)"
"Chotějovice"
"Chotěšov pod Hazmburkem"
"Chotěšov u Stoda"
"Chotětov"
"Chotěvice"
"Chotiměř (Chotiměř, školka) (NAD)"
"Chotouchov"
"Choťovice"
"Chotoviny"
"Chotutice"
"Chotýčany"
"Chotyně"
"Chrást nad Sázavou"
"Chrast u Chrudimi"
"Chrást u Plzně"
"Chrást u Plzně obec"
"Chrást u Plzně zastávka"
"Chrastava"
"Chrastava-Andělská Hora"
"Chrastice"
"Chrášťany"
"Chrášťany zastávka"
"Chroboly"
"Chropyně"
"Chroustov"
"Chrudim"
"Chrudim město"
"Chrudim zastávka"
"Chřenovice"
"Chřenovice-Podhradí"
"Chřibská"
"Chudobín"
"Chuchelná"
"Chvaleč"
"Chvalešovice"
"Chvaletice"
"Chválkov"
"Chvalkovice na Hané"
"Chvatěruby"
"Chýně"
"Chýně jih"
"Chýnov"
"Chyše"
"Ivančice"
"Ivančice letovisko"
"Ivančice město"
"Ivanovice na Hané"
"Jablonec nad Jizerou"
"Jablonec nad Jizerou- Hradsko"
"Jablonec nad Nisou"
"Jablonec nad Nisou centrum"
"Jablonec nad Nisou dolní n."
"Jablonec nad Nisou zastávka"
"Jablonecké Paseky"
"Jablonné nad Orlicí"
"Jablonné v Podještědí"
"Jablůnka"
"Jackov"
"Jakartovice"
"Jakubčovice nad Odrou"
"Jamartice"
"Jamné nad Orlicí"
"Jankovice"
"Janová"
"Janovice nad Úhlavou"
"Janovice u Trutnova"
"Jarohněvice"
"Jaroměř"
"Jaroměř zastávka"
"Jaroměřice nad Rokytnou"
"Javorník nad Veličkou zastávka"
"Javorník ve Slezsku"
"Jedlová"
"Jemnice"
"Jeneč"
"Jeneč zastávka"
"Jeníkovice"
"Jeníkov-Oldřichov"
"Jeřice"
"Jeřmanice"
"Jesenec"
"Jesenice"
"Jeseník"
"Jeseník nad Odrou"
"Jesenný"
"Jestřabice"
"Jestřebí"
"Ješetice"
"Jetenovice"
"Jetětice"
"Jevišovka"
"Jezdovice"
"Jičín"
"Jičín zastávka"
"Jičíněves"
"Jihlava"
"Jihlava město"
"Jihlava-Bosch Diesel"
"Jihlava-Staré Hory"
"Jíkev"
"Jilemnice"
"Jilešovice"
"Jílové u Děčína"
"Jílové u Prahy"
"Jílovice"
"Jimlín"
"Jince"
"Jindřichov na Moravě"
"Jindřichov ve Slezsku"
"Jindřichovice pod Smrkem"
"Jindřichovice pod Smrkem- Skanzen"
"Jindřichův Hradec"
"Jindřiš"
"Jindřiš zastávka"
"Jinočany"
"Jinolice"
"Jirkov"
"Jirkov zastávka"
"Jiřetín pod Bukovou"
"Jiřetín pod Jedlovou"
"Jiřice"
"Jistebník"
"Jivany"
"Jívová"
"Johanngeorgenstadt"
"Josefův Důl"
"Kácov"
"Kácov zastávka"
"Kačice"
"Kadaň"
"Kadaň předměstí"
"Kadaň-Bystřice"
"Kadaň-Prunéřov"
"Kadaňský Rohozec"
"Kájov"
"Kamenec"
"Kamenice nad Lipou"
"Kamenice u Humpolce"
"Kamenický Šenov"
"Kamenná"
"Kamenné Zboží"
"Kamenné Žehrovice"
"Kamenný Most u Kralup nad Vltavou"
"Kamenný Přívoz"
"Kamenný Újezd u Českých Budějovic"
"Kamenný Újezd u Českých Budějovic zastávka"
"Kamenný Újezd u Nýřan"
"Kamenný Újezd u Rokycan"
"Kanina"
"Kaple"
"Kaplice"
"Kaproun"
"Káranice"
"Kardašova Řečice"
"Karlov pod Ještědem"
"Karlovice"
"Karlovice zastávka"
"Karlovice-Sedmihorky"
